[00:06:32] ,player_stat,342.59,3,2팀,Viol2t,루시우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11
[00:06:32] ,player_stat,342.59,3,2팀,Viol2t,키리코,6,2,5,4167.45,0,4167.45,5499.74,1465.88,0,2689.20,0,4,3,2,4,0,0,0,0,0,0,14,0.21,0,0,0,274,67,196,0,0,0.25,337.69
[00:06:32] ,player_stat,342.59,3,2팀,Proper,시메트라,0,0,5,3177.65,103.84,3073.81,0,599.68,0,2039.68,1445.13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,97,18,77,0,0,0.19,303.23
[00:06:32] ,player_stat,342.59,3,2팀,Proper,파라,1,1,1,1478.88,120,1358.88,0,174.85,0,399.85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,16,12,0,0,0.57,39.35
[00:06:32] ,player_stat,342.59,3,1팀,ChiYo,미즈키,13,4,2,5940.52,491.00,3157.50,6794.14,1707.40,0,2432.86,0,23,0,2,2,1,3,0,7,0,0,6,0.09,0,0,0,186,65,83,0,0,0.44,342.59
[00:06:32] ,objective_captured,342.59,3,All Teams,2,0,0,39.98
[00:06:40] ,hero_swap,349.90,2팀,knife,겐지,캐서디,7.31
[00:06:42] ,hero_swap,351.97,2팀,knife,캐서디,겐지,2.08
[00:06:42] ,hero_swap,352.50,2팀,Mealgaru,시그마,마우가,9.92
[00:06:57] ,****,367.59,1팀,SP1NT,안란,2팀,knife,캐서디,Secondary Fire,7.75,0,0
[00:06:57] ,defensive_assist,367.65,1팀,ChiYo,미즈키,0
[00:06:57] ,defensive_assist,367.72,1팀,Fielder,키리코,0
[00:06:58] ,offensive_assist,368.04,1팀,HanBin,마우가,0
[00:06:58] ,defensive_assist,368.04,1팀,HanBin,마우가,0
[00:07:00] ,****,370.53,1팀,ChiYo,미즈키,2팀,shu,미즈키,Primary Fire,6.95,0,0
[00:07:01] ,offensive_assist,370.87,1팀,HanBin,마우가,0
[00:07:01] ,defensive_assist,370.87,1팀,HanBin,마우가,0
[00:07:01] ,defensive_assist,370.96,1팀,ChiYo,미즈키,0
[00:07:01] ,defensive_assist,371.01,1팀,Fielder,키리코,0
[00:07:01] ,****,371.60,1팀,Fielder,키리코,2팀,Mealgaru,시그마,0,4.16,0,0
[00:07:02] ,defensive_assist,371.94,1팀,Fielder,키리코,0
[00:07:02] ,****,372.36,1팀,HanBin,마우가,2팀,Viol2t,키리코,0,5.20,0,0
[00:07:02] ,defensive_assist,372.40,1팀,Fielder,키리코,0
[00:07:02] ,defensive_assist,372.74,1팀,HanBin,마우가,0
[00:07:03] ,defensive_assist,372.82,1팀,ChiYo,미즈키,0
[00:07:09] ,hero_swap,379.66,2팀,knife,겐지,캐서디,27.69
